n0,0,8,1,3,10,8,9,9,7,6,0,2,4,4,9
n1,0,10,3,2,1,7,7,9,10,3,10,7,7,7,7
n2,0,6,1,6,10,0,8,9,9,5,3,9,9,6,3
n3,0,7,9,4,9,5,5,0,8,10,8,10,6,0,6
n4,1,3,5,6,6,7,1,7,6,2,4,4,2,8,5
n5,2,6,3,3,9,2,9,8,6,7,0,3,8,10,4
n6,2,9,5,6,2,7,5,1,4,3,10,10,0,9,5
n7,0,7,9,6,0,5,9,3,9,9,1,3,4,9,3
n8,0,3,10,1,5,0,6,2,7,8,8,8,9,10,2
n9,1,8,0,4,0,6,7,0,3,4,6,1,2,9,10
n10,1,7,9,7,4,4,7,6,10,2,0,5,0,8,9
n11,1,1,2,6,9,3,9,3,5,8,1,4,8,2,5
n12,1,1,9,1,6,9,3,3,5,0,4,7,1,1,6
n13,2,4,2,3,7,9,3,8,5,8,8,3,1,8,1
n14,1,8,3,4,8,3,2,2,8,3,6,1,3,4,5
n15,2,2,10,1,2,1,2,4,1,6,10,2,8,7,9
n16,1,6,3,1,4,6,5,9,0,6,3,7,6,4,9
n17,2,8,10,3,10,3,0,8,7,6,9,8,1,0,0
n18,2,4,9,8,1,10,3,6,8,0,0,3,2,10,2
n19,2,7,7,10,10,2,1,8,2,4,8,7,5,6,3
n20,1,7,9,9,2,0,5,8,10,4,7,1,6,8,0
n21,1,2,9,4,1,4,10,2,1,8,7,0,9,9,3
n22,1,0,10,2,10,4,8,6,5,10,6,2,5,10,4
n23,0,5,0,7,5,5,10,3,1,7,0,3,3,8,6
n24,1,10,6,4,6,2,1,7,10,10,7,6,1,3,8
n25,1,4,3,1,2,9,6,9,8,1,2,2,0,6,5
